Cosine Similarity,Class,Modality Pair,i,j
0.8074927,6,rgb_pca,0,1
0.80242044,6,rgb_pca,0,1
0.8081659,6,rgb_pca,0,1
0.8453616,6,rgb_pca,0,1
0.8727761,6,rgb_pca,0,1
0.7208438,6,rgb_pca,0,1
0.72145367,6,rgb_pca,0,1
0.74111086,6,rgb_pca,0,1
0.73854005,6,rgb_pca,0,1
0.7837182,6,rgb_pca,0,1
0.7688791,6,rgb_pca,0,1
0.7654529,6,rgb_pca,0,1
0.7612618,6,rgb_pca,0,1
0.73738575,6,rgb_pca,0,1
0.74353397,6,rgb_pca,0,1
0.7924245,6,rgb_pca,0,1
0.8134149,6,rgb_pca,0,1
0.8165721,6,rgb_pca,0,1
0.79503405,6,rgb_pca,0,1
0.7624836,6,rgb_pca,0,1
0.7734425,6,rgb_pca,0,1
0.80200255,6,rgb_pca,0,1
0.7693409,6,rgb_pca,0,1
0.7761971,6,rgb_pca,0,1
0.7698554,6,rgb_pca,0,1
0.77442,6,rgb_pca,0,1
0.78079635,6,rgb_pca,0,1
0.80412805,6,rgb_pca,0,1
0.79711115,6,rgb_pca,0,1
0.80292225,6,rgb_pca,0,1
0.8089484,6,rgb_pca,0,1
0.8077057,6,rgb_pca,0,1
0.7894411,6,rgb_pca,0,1
0.76102805,6,rgb_pca,0,1
0.7834262,6,rgb_pca,0,1
0.81822646,6,rgb_pca,0,1
0.81125075,6,rgb_pca,0,1
0.8110086,6,rgb_pca,0,1
0.7958708,6,rgb_pca,0,1
0.7711965,6,rgb_pca,0,1
0.7883197,6,rgb_pca,0,1
0.80277365,6,rgb_pca,0,1
0.797705,6,rgb_pca,0,1
0.81800866,6,rgb_pca,0,1
0.81433344,6,rgb_pca,0,1
0.7875813,6,rgb_pca,0,1
0.8071383,6,rgb_pca,0,1
0.8288654,6,rgb_pca,0,1
0.83983254,6,rgb_pca,0,1
0.850971,6,rgb_pca,0,1
0.84097123,6,rgb_pca,0,1
0.81770927,6,rgb_pca,0,1
0.8325323,6,rgb_pca,0,1
0.8085926,6,rgb_pca,0,1
0.8337659,6,rgb_pca,0,1
0.81131655,6,rgb_pca,0,1
0.78063464,6,rgb_pca,0,1
0.80574214,6,rgb_pca,0,1
0.7491846,6,rgb_pca,0,1
0.75956553,6,rgb_pca,0,1
0.7937649,6,rgb_pca,0,1
0.78231794,6,rgb_pca,0,1
0.7474767,6,rgb_pca,0,1
0.78849906,6,rgb_pca,0,1
0.75723326,6,rgb_pca,0,1
0.8065152,6,rgb_pca,0,1
0.8113505,6,rgb_pca,0,1
0.7764436,6,rgb_pca,0,1
0.80617213,6,rgb_pca,0,1
0.7633485,6,rgb_pca,0,1
0.79801095,6,rgb_pca,0,1
0.78744376,6,rgb_pca,0,1
0.74236685,6,rgb_pca,0,1
0.79945064,6,rgb_pca,0,1
0.7394392,2,rgb_pca,0,1
0.74259454,2,rgb_pca,0,1
0.75476426,2,rgb_pca,0,1
0.77460563,2,rgb_pca,0,1
0.79516286,2,rgb_pca,0,1
0.78672767,2,rgb_pca,0,1
0.81480795,2,rgb_pca,0,1
0.7895017,2,rgb_pca,0,1
0.80166674,2,rgb_pca,0,1
0.77371603,2,rgb_pca,0,1
0.7196196,2,rgb_pca,0,1
0.70032626,2,rgb_pca,0,1
0.83334744,2,rgb_pca,0,1
0.79938716,2,rgb_pca,0,1
0.750455,2,rgb_pca,0,1
0.7474152,2,rgb_pca,0,1
0.7636044,2,rgb_pca,0,1
0.7245017,2,rgb_pca,0,1
0.6163138,2,rgb_pca,0,1
0.66477567,2,rgb_pca,0,1
0.7426945,2,rgb_pca,0,1
0.7738913,2,rgb_pca,0,1
0.7274413,2,rgb_pca,0,1
0.6138264,2,rgb_pca,0,1
0.642894,2,rgb_pca,0,1
0.7258544,2,rgb_pca,0,1
0.75798064,2,rgb_pca,0,1
0.8360971,6,rgb_pca,0,1
0.84677005,6,rgb_pca,0,1
0.84867936,6,rgb_pca,0,1
0.8598452,6,rgb_pca,0,1
0.8652047,6,rgb_pca,0,1
0.856895,6,rgb_pca,0,1
0.8460816,6,rgb_pca,0,1
0.7598475,6,rgb_pca,0,1
0.7695303,6,rgb_pca,0,1
0.75776756,6,rgb_pca,0,1
0.769695,6,rgb_pca,0,1
0.76741767,6,rgb_pca,0,1
0.76431215,6,rgb_pca,0,1
0.7699172,6,rgb_pca,0,1
0.7732295,6,rgb_pca,0,1
0.79055303,6,rgb_pca,0,1
0.7920554,6,rgb_pca,0,1
0.8002633,6,rgb_pca,0,1
0.798465,6,rgb_pca,0,1
0.7975691,6,rgb_pca,0,1
0.7820148,6,rgb_pca,0,1
0.79421175,6,rgb_pca,0,1
0.8225087,6,rgb_pca,0,1
0.8193517,6,rgb_pca,0,1
0.7917575,6,rgb_pca,0,1
0.80775285,6,rgb_pca,0,1
0.78807116,6,rgb_pca,0,1
0.74663734,6,rgb_pca,0,1
0.81477857,6,rgb_pca,0,1
0.8009558,6,rgb_pca,0,1
0.7856978,6,rgb_pca,0,1
0.77893674,6,rgb_pca,0,1
0.77792567,6,rgb_pca,0,1
0.7660589,6,rgb_pca,0,1
0.7497178,6,rgb_pca,0,1
0.7670851,6,rgb_pca,0,1
0.80859435,6,rgb_pca,0,1
0.80818796,6,rgb_pca,0,1
0.80050087,6,rgb_pca,0,1
0.80742604,6,rgb_pca,0,1
0.8047446,6,rgb_pca,0,1
0.8010607,6,rgb_pca,0,1
0.78691995,6,rgb_pca,0,1
0.75860786,6,rgb_pca,0,1
0.7653115,6,rgb_pca,0,1
0.8190711,6,rgb_pca,0,1
0.8241062,6,rgb_pca,0,1
0.80667764,6,rgb_pca,0,1
0.811315,6,rgb_pca,0,1
0.80262655,6,rgb_pca,0,1
0.78373015,6,rgb_pca,0,1
0.74927723,6,rgb_pca,0,1
0.77304345,6,rgb_pca,0,1
0.7553766,6,rgb_pca,0,1
0.8110011,6,rgb_pca,0,1
0.8156344,6,rgb_pca,0,1
0.81155634,6,rgb_pca,0,1
0.8074451,6,rgb_pca,0,1
