Cosine Similarity,Class,Modality Pair,i,j
0.8855181,6,rgb_pca,0,1
0.8964348,6,rgb_pca,0,1
0.9033351,6,rgb_pca,0,1
0.92313814,6,rgb_pca,0,1
0.94400054,6,rgb_pca,0,1
0.83196974,6,rgb_pca,0,1
0.82914746,6,rgb_pca,0,1
0.827332,6,rgb_pca,0,1
0.8453876,6,rgb_pca,0,1
0.8634318,6,rgb_pca,0,1
0.79961777,6,rgb_pca,0,1
0.7840844,6,rgb_pca,0,1
0.77117795,6,rgb_pca,0,1
0.7705507,6,rgb_pca,0,1
0.78887457,6,rgb_pca,0,1
0.8174609,6,rgb_pca,0,1
0.8024094,6,rgb_pca,0,1
0.79096115,6,rgb_pca,0,1
0.7986138,6,rgb_pca,0,1
0.79673827,6,rgb_pca,0,1
0.81524915,6,rgb_pca,0,1
0.8351971,6,rgb_pca,0,1
0.799628,6,rgb_pca,0,1
0.8009782,6,rgb_pca,0,1
0.81206954,6,rgb_pca,0,1
0.8159012,6,rgb_pca,0,1
0.8283458,6,rgb_pca,0,1
0.84780264,6,rgb_pca,0,1
0.77731156,6,rgb_pca,0,1
0.7805327,6,rgb_pca,0,1
0.78952944,6,rgb_pca,0,1
0.802706,6,rgb_pca,0,1
0.8130425,6,rgb_pca,0,1
0.78659236,6,rgb_pca,0,1
0.8244525,6,rgb_pca,0,1
0.8017021,6,rgb_pca,0,1
0.80520344,6,rgb_pca,0,1
0.7989859,6,rgb_pca,0,1
0.82791626,6,rgb_pca,0,1
0.8088595,6,rgb_pca,0,1
0.83796686,6,rgb_pca,0,1
0.78645515,6,rgb_pca,0,1
0.79805326,6,rgb_pca,0,1
0.82198095,6,rgb_pca,0,1
0.8540435,6,rgb_pca,0,1
0.8262398,6,rgb_pca,0,1
0.85610807,6,rgb_pca,0,1
0.778169,6,rgb_pca,0,1
0.7881778,6,rgb_pca,0,1
0.80653954,6,rgb_pca,0,1
0.84098387,6,rgb_pca,0,1
0.80764645,6,rgb_pca,0,1
0.83855855,6,rgb_pca,0,1
0.7852317,6,rgb_pca,0,1
0.80065775,6,rgb_pca,0,1
0.825629,6,rgb_pca,0,1
0.81832105,6,rgb_pca,0,1
0.8340156,6,rgb_pca,0,1
0.8071126,6,rgb_pca,0,1
0.77214473,6,rgb_pca,0,1
0.79485303,6,rgb_pca,0,1
0.8241205,6,rgb_pca,0,1
0.82873285,6,rgb_pca,0,1
0.8418126,6,rgb_pca,0,1
0.7799655,6,rgb_pca,0,1
0.8041906,6,rgb_pca,0,1
0.82232845,6,rgb_pca,0,1
0.8221361,6,rgb_pca,0,1
0.85534346,6,rgb_pca,0,1
0.77316296,6,rgb_pca,0,1
0.7879461,6,rgb_pca,0,1
0.80567586,6,rgb_pca,0,1
0.8243166,6,rgb_pca,0,1
0.8550858,6,rgb_pca,0,1
0.7968865,2,rgb_pca,0,1
0.81554496,2,rgb_pca,0,1
0.785349,2,rgb_pca,0,1
0.7932,2,rgb_pca,0,1
0.78327477,2,rgb_pca,0,1
0.78777075,2,rgb_pca,0,1
0.8186238,2,rgb_pca,0,1
0.8346067,2,rgb_pca,0,1
0.7796114,2,rgb_pca,0,1
0.77469826,2,rgb_pca,0,1
0.8096037,2,rgb_pca,0,1
0.8349066,2,rgb_pca,0,1
0.7776048,2,rgb_pca,0,1
0.78523576,2,rgb_pca,0,1
0.80319357,2,rgb_pca,0,1
0.82227343,2,rgb_pca,0,1
0.7796354,2,rgb_pca,0,1
0.7867249,2,rgb_pca,0,1
0.78090924,2,rgb_pca,0,1
0.77800655,2,rgb_pca,0,1
0.81808794,2,rgb_pca,0,1
0.8293246,2,rgb_pca,0,1
0.77858794,2,rgb_pca,0,1
0.76677907,2,rgb_pca,0,1
0.76706505,2,rgb_pca,0,1
0.83778286,2,rgb_pca,0,1
0.85779315,2,rgb_pca,0,1
0.9056827,6,rgb_pca,0,1
0.90812165,6,rgb_pca,0,1
0.90568054,6,rgb_pca,0,1
0.90665144,6,rgb_pca,0,1
0.90686643,6,rgb_pca,0,1
0.9031998,6,rgb_pca,0,1
0.89685214,6,rgb_pca,0,1
0.8308966,6,rgb_pca,0,1
0.83728254,6,rgb_pca,0,1
0.8229258,6,rgb_pca,0,1
0.8152766,6,rgb_pca,0,1
0.8199161,6,rgb_pca,0,1
0.82692945,6,rgb_pca,0,1
0.82905173,6,rgb_pca,0,1
0.8008068,6,rgb_pca,0,1
0.819186,6,rgb_pca,0,1
0.818916,6,rgb_pca,0,1
0.7934773,6,rgb_pca,0,1
0.78279006,6,rgb_pca,0,1
0.7947616,6,rgb_pca,0,1
0.7745409,6,rgb_pca,0,1
0.7890953,6,rgb_pca,0,1
0.78250057,6,rgb_pca,0,1
0.77905285,6,rgb_pca,0,1
0.77342904,6,rgb_pca,0,1
0.7276676,6,rgb_pca,0,1
0.72725034,6,rgb_pca,0,1
0.74624056,6,rgb_pca,0,1
0.76782,6,rgb_pca,0,1
0.7753204,6,rgb_pca,0,1
0.7813718,6,rgb_pca,0,1
0.7729715,6,rgb_pca,0,1
0.73632765,6,rgb_pca,0,1
0.7464279,6,rgb_pca,0,1
0.76699996,6,rgb_pca,0,1
0.7727884,6,rgb_pca,0,1
0.79552704,6,rgb_pca,0,1
0.8173057,6,rgb_pca,0,1
0.81340003,6,rgb_pca,0,1
0.79576874,6,rgb_pca,0,1
0.7825389,6,rgb_pca,0,1
0.75888956,6,rgb_pca,0,1
0.75948524,6,rgb_pca,0,1
0.75934404,6,rgb_pca,0,1
0.74458694,6,rgb_pca,0,1
0.80668116,6,rgb_pca,0,1
0.79894984,6,rgb_pca,0,1
0.7642766,6,rgb_pca,0,1
0.7616222,6,rgb_pca,0,1
0.7519375,6,rgb_pca,0,1
0.7406386,6,rgb_pca,0,1
0.73296165,6,rgb_pca,0,1
0.7349691,6,rgb_pca,0,1
0.69930714,6,rgb_pca,0,1
0.7978155,6,rgb_pca,0,1
0.7898847,6,rgb_pca,0,1
0.77538085,6,rgb_pca,0,1
0.7629117,6,rgb_pca,0,1
0.75839764,6,rgb_pca,0,1
0.747476,6,rgb_pca,0,1
0.7590503,6,rgb_pca,0,1
0.7527448,6,rgb_pca,0,1
0.7381266,6,rgb_pca,0,1
0.7914177,6,rgb_pca,0,1
0.78578216,6,rgb_pca,0,1
0.7805942,6,rgb_pca,0,1
0.7654235,6,rgb_pca,0,1
0.75814354,6,rgb_pca,0,1
0.7274286,6,rgb_pca,0,1
0.738974,6,rgb_pca,0,1
0.76125443,6,rgb_pca,0,1
0.76621276,6,rgb_pca,0,1
0.7948499,6,rgb_pca,0,1
0.8065216,6,rgb_pca,0,1
0.7742007,6,rgb_pca,0,1
0.7377013,6,rgb_pca,0,1
0.7196037,6,rgb_pca,0,1
0.7069944,6,rgb_pca,0,1
0.7290371,6,rgb_pca,0,1
0.7699417,6,rgb_pca,0,1
0.79547554,6,rgb_pca,0,1
0.7275362,6,rgb_pca,0,1
0.7572372,6,rgb_pca,0,1
0.7603057,6,rgb_pca,0,1
0.75309587,6,rgb_pca,0,1
0.7728373,6,rgb_pca,0,1
0.73574495,6,rgb_pca,0,1
0.6884234,6,rgb_pca,0,1
0.6855551,6,rgb_pca,0,1
0.71689165,6,rgb_pca,0,1
0.7276976,6,rgb_pca,0,1
0.5551141,6,rgb_pca,0,1
0.5681855,6,rgb_pca,0,1
0.66710925,6,rgb_pca,0,1
0.74182135,6,rgb_pca,0,1
0.6977304,6,rgb_pca,0,1
0.67436314,6,rgb_pca,0,1
0.68697524,6,rgb_pca,0,1
0.70550025,6,rgb_pca,0,1
0.7115669,6,rgb_pca,0,1
0.52641,6,rgb_pca,0,1
0.51310176,6,rgb_pca,0,1
0.5385281,6,rgb_pca,0,1
0.6349131,6,rgb_pca,0,1
0.6344664,6,rgb_pca,0,1
0.6882148,6,rgb_pca,0,1
0.7028357,6,rgb_pca,0,1
0.7074959,6,rgb_pca,0,1
0.7191092,6,rgb_pca,0,1
0.81685317,2,rgb_pca,0,1
0.814428,2,rgb_pca,0,1
0.8026153,2,rgb_pca,0,1
0.8176743,2,rgb_pca,0,1
0.7943324,2,rgb_pca,0,1
0.8059106,2,rgb_pca,0,1
0.8058176,2,rgb_pca,0,1
0.7727419,2,rgb_pca,0,1
0.82656413,2,rgb_pca,0,1
0.81721985,2,rgb_pca,0,1
0.78921854,2,rgb_pca,0,1
0.76600957,2,rgb_pca,0,1
0.83753145,2,rgb_pca,0,1
