Cosine Similarity,Class,Modality Pair,i,j
0.80992603,6,rgb_pca,0,1
0.80682534,6,rgb_pca,0,1
0.82049334,6,rgb_pca,0,1
0.85574937,6,rgb_pca,0,1
0.8809139,6,rgb_pca,0,1
0.7306326,6,rgb_pca,0,1
0.7220042,6,rgb_pca,0,1
0.7445986,6,rgb_pca,0,1
0.75375533,6,rgb_pca,0,1
0.7797389,6,rgb_pca,0,1
0.766528,6,rgb_pca,0,1
0.74940276,6,rgb_pca,0,1
0.74050164,6,rgb_pca,0,1
0.72561824,6,rgb_pca,0,1
0.7347817,6,rgb_pca,0,1
0.77949816,6,rgb_pca,0,1
0.8087254,6,rgb_pca,0,1
0.80954164,6,rgb_pca,0,1
0.7931229,6,rgb_pca,0,1
0.7628654,6,rgb_pca,0,1
0.7637571,6,rgb_pca,0,1
0.79445106,6,rgb_pca,0,1
0.7798728,6,rgb_pca,0,1
0.79054314,6,rgb_pca,0,1
0.79130006,6,rgb_pca,0,1
0.7847644,6,rgb_pca,0,1
0.7796488,6,rgb_pca,0,1
0.8031875,6,rgb_pca,0,1
0.7822666,6,rgb_pca,0,1
0.79102826,6,rgb_pca,0,1
0.8027277,6,rgb_pca,0,1
0.7960582,6,rgb_pca,0,1
0.780933,6,rgb_pca,0,1
0.75454754,6,rgb_pca,0,1
0.7851621,6,rgb_pca,0,1
0.8134882,6,rgb_pca,0,1
0.8217735,6,rgb_pca,0,1
0.7915021,6,rgb_pca,0,1
0.79551655,6,rgb_pca,0,1
0.77356696,6,rgb_pca,0,1
0.80283517,6,rgb_pca,0,1
0.7942625,6,rgb_pca,0,1
0.7922162,6,rgb_pca,0,1
0.79867053,6,rgb_pca,0,1
0.8102125,6,rgb_pca,0,1
0.7858612,6,rgb_pca,0,1
0.81746113,6,rgb_pca,0,1
0.8277339,6,rgb_pca,0,1
0.8297784,6,rgb_pca,0,1
0.82799375,6,rgb_pca,0,1
0.8325022,6,rgb_pca,0,1
0.8077902,6,rgb_pca,0,1
0.82635576,6,rgb_pca,0,1
0.8118429,6,rgb_pca,0,1
0.82374763,6,rgb_pca,0,1
0.8124952,6,rgb_pca,0,1
0.7934304,6,rgb_pca,0,1
0.8135438,6,rgb_pca,0,1
0.768592,6,rgb_pca,0,1
0.76428,6,rgb_pca,0,1
0.766364,6,rgb_pca,0,1
0.7923859,6,rgb_pca,0,1
0.77271044,6,rgb_pca,0,1
0.7979101,6,rgb_pca,0,1
0.76527786,6,rgb_pca,0,1
0.7993121,6,rgb_pca,0,1
0.81036586,6,rgb_pca,0,1
0.78557956,6,rgb_pca,0,1
0.8142788,6,rgb_pca,0,1
0.77581954,6,rgb_pca,0,1
0.78530985,6,rgb_pca,0,1
0.7853885,6,rgb_pca,0,1
0.753405,6,rgb_pca,0,1
0.80999583,6,rgb_pca,0,1
0.72986215,2,rgb_pca,0,1
0.7496079,2,rgb_pca,0,1
0.7503201,2,rgb_pca,0,1
0.7588023,2,rgb_pca,0,1
0.7764614,2,rgb_pca,0,1
0.7569431,2,rgb_pca,0,1
0.78973484,2,rgb_pca,0,1
0.7960661,2,rgb_pca,0,1
0.7576702,2,rgb_pca,0,1
0.70272785,2,rgb_pca,0,1
0.6719934,2,rgb_pca,0,1
0.7043313,2,rgb_pca,0,1
0.76212966,2,rgb_pca,0,1
0.7352491,2,rgb_pca,0,1
0.69938135,2,rgb_pca,0,1
0.7308157,2,rgb_pca,0,1
0.73098814,2,rgb_pca,0,1
0.72214895,2,rgb_pca,0,1
0.6594064,2,rgb_pca,0,1
0.6721161,2,rgb_pca,0,1
0.70869184,2,rgb_pca,0,1
0.7185718,2,rgb_pca,0,1
0.72681004,2,rgb_pca,0,1
0.65637565,2,rgb_pca,0,1
0.65836924,2,rgb_pca,0,1
0.6901181,2,rgb_pca,0,1
0.6849874,2,rgb_pca,0,1
0.83887833,6,rgb_pca,0,1
0.84585524,6,rgb_pca,0,1
0.85039043,6,rgb_pca,0,1
0.8555347,6,rgb_pca,0,1
0.8621205,6,rgb_pca,0,1
0.85354507,6,rgb_pca,0,1
0.84125304,6,rgb_pca,0,1
0.74451935,6,rgb_pca,0,1
0.7408531,6,rgb_pca,0,1
0.7328218,6,rgb_pca,0,1
0.7435924,6,rgb_pca,0,1
0.75966406,6,rgb_pca,0,1
0.76178306,6,rgb_pca,0,1
0.76067626,6,rgb_pca,0,1
0.75541687,6,rgb_pca,0,1
0.7571055,6,rgb_pca,0,1
0.7603507,6,rgb_pca,0,1
0.76715654,6,rgb_pca,0,1
0.7712632,6,rgb_pca,0,1
0.7829292,6,rgb_pca,0,1
0.76441705,6,rgb_pca,0,1
0.80404377,6,rgb_pca,0,1
0.80005443,6,rgb_pca,0,1
0.8060981,6,rgb_pca,0,1
0.7887491,6,rgb_pca,0,1
0.7767182,6,rgb_pca,0,1
0.7675952,6,rgb_pca,0,1
0.7337564,6,rgb_pca,0,1
0.8121395,6,rgb_pca,0,1
0.8033325,6,rgb_pca,0,1
0.7923337,6,rgb_pca,0,1
0.78433865,6,rgb_pca,0,1
0.76477087,6,rgb_pca,0,1
0.75775003,6,rgb_pca,0,1
0.7555636,6,rgb_pca,0,1
0.7701409,6,rgb_pca,0,1
0.80648124,6,rgb_pca,0,1
0.81405437,6,rgb_pca,0,1
0.7873896,6,rgb_pca,0,1
0.7923347,6,rgb_pca,0,1
0.78234816,6,rgb_pca,0,1
0.7750372,6,rgb_pca,0,1
0.7632109,6,rgb_pca,0,1
0.7566571,6,rgb_pca,0,1
0.7580303,6,rgb_pca,0,1
0.82448936,6,rgb_pca,0,1
0.82050884,6,rgb_pca,0,1
0.78518873,6,rgb_pca,0,1
0.7810862,6,rgb_pca,0,1
0.7635029,6,rgb_pca,0,1
0.7470829,6,rgb_pca,0,1
0.7321207,6,rgb_pca,0,1
0.75291,6,rgb_pca,0,1
0.7219084,6,rgb_pca,0,1
0.79610574,6,rgb_pca,0,1
0.7794516,6,rgb_pca,0,1
0.7674516,6,rgb_pca,0,1
0.7507937,6,rgb_pca,0,1
0.7373713,6,rgb_pca,0,1
0.7209523,6,rgb_pca,0,1
0.7010846,6,rgb_pca,0,1
0.7306874,6,rgb_pca,0,1
0.74411154,6,rgb_pca,0,1
0.8040318,6,rgb_pca,0,1
0.79310834,6,rgb_pca,0,1
0.78923666,6,rgb_pca,0,1
0.7547904,6,rgb_pca,0,1
0.76040566,6,rgb_pca,0,1
0.73859406,6,rgb_pca,0,1
0.70208025,6,rgb_pca,0,1
0.7430148,6,rgb_pca,0,1
0.74150324,6,rgb_pca,0,1
0.8031284,6,rgb_pca,0,1
0.8063086,6,rgb_pca,0,1
0.7935024,6,rgb_pca,0,1
0.7522358,6,rgb_pca,0,1
0.7267463,6,rgb_pca,0,1
0.64900255,6,rgb_pca,0,1
0.6654112,6,rgb_pca,0,1
0.7286973,6,rgb_pca,0,1
0.73481673,6,rgb_pca,0,1
0.8104334,6,rgb_pca,0,1
0.82142866,6,rgb_pca,0,1
0.79949796,6,rgb_pca,0,1
0.7706363,6,rgb_pca,0,1
0.744159,6,rgb_pca,0,1
0.707129,6,rgb_pca,0,1
0.6323992,6,rgb_pca,0,1
0.646821,6,rgb_pca,0,1
0.6905551,6,rgb_pca,0,1
0.700946,6,rgb_pca,0,1
0.7598846,6,rgb_pca,0,1
0.71189404,6,rgb_pca,0,1
0.7317965,6,rgb_pca,0,1
0.73990405,6,rgb_pca,0,1
0.69745475,6,rgb_pca,0,1
0.6935071,6,rgb_pca,0,1
0.70159036,6,rgb_pca,0,1
0.6979444,6,rgb_pca,0,1
0.7088424,6,rgb_pca,0,1
0.71984756,6,rgb_pca,0,1
0.6978438,6,rgb_pca,0,1
0.69228524,6,rgb_pca,0,1
0.72049296,6,rgb_pca,0,1
0.71443915,6,rgb_pca,0,1
0.7185425,6,rgb_pca,0,1
0.72070825,6,rgb_pca,0,1
0.70410645,6,rgb_pca,0,1
0.7232904,6,rgb_pca,0,1
0.7786149,2,rgb_pca,0,1
0.78751135,2,rgb_pca,0,1
0.7448048,2,rgb_pca,0,1
0.730479,2,rgb_pca,0,1
0.74513245,2,rgb_pca,0,1
0.7284225,2,rgb_pca,0,1
0.74534357,2,rgb_pca,0,1
0.74737597,2,rgb_pca,0,1
0.7465627,2,rgb_pca,0,1
0.7305105,2,rgb_pca,0,1
0.7231378,2,rgb_pca,0,1
0.70902574,2,rgb_pca,0,1
0.7828967,2,rgb_pca,0,1
0.7828048,2,rgb_pca,0,1
0.7691759,2,rgb_pca,0,1
0.7648032,2,rgb_pca,0,1
0.744154,2,rgb_pca,0,1
0.7271137,2,rgb_pca,0,1
0.70174456,2,rgb_pca,0,1
0.7013278,2,rgb_pca,0,1
0.71577746,2,rgb_pca,0,1
0.7055543,2,rgb_pca,0,1
0.70946836,2,rgb_pca,0,1
0.6484684,2,rgb_pca,0,1
0.6704441,2,rgb_pca,0,1
0.68989444,2,rgb_pca,0,1
0.69432247,2,rgb_pca,0,1
0.85972595,6,rgb_pca,0,1
0.85555124,6,rgb_pca,0,1
0.81745774,6,rgb_pca,0,1
0.76387227,6,rgb_pca,0,1
0.78821814,6,rgb_pca,0,1
0.79204315,6,rgb_pca,0,1
0.79748553,6,rgb_pca,0,1
0.7549176,6,rgb_pca,0,1
0.79182684,6,rgb_pca,0,1
0.73315954,6,rgb_pca,0,1
0.7942061,6,rgb_pca,0,1
0.7418877,6,rgb_pca,0,1
0.72667074,6,rgb_pca,0,1
0.7989639,6,rgb_pca,0,1
0.75772035,6,rgb_pca,0,1
0.71363866,6,rgb_pca,0,1
0.8087525,6,rgb_pca,0,1
0.78611755,6,rgb_pca,0,1
0.7424637,6,rgb_pca,0,1
0.7793438,6,rgb_pca,0,1
0.7690882,6,rgb_pca,0,1
0.7632431,6,rgb_pca,0,1
0.75534666,6,rgb_pca,0,1
0.76604855,6,rgb_pca,0,1
0.76237404,6,rgb_pca,0,1
0.76930255,6,rgb_pca,0,1
0.7513176,6,rgb_pca,0,1
0.78920865,6,rgb_pca,0,1
0.7640698,6,rgb_pca,0,1
0.7435223,6,rgb_pca,0,1
0.73284614,6,rgb_pca,0,1
0.79024357,6,rgb_pca,0,1
0.778156,6,rgb_pca,0,1
0.7294995,6,rgb_pca,0,1
0.74141186,6,rgb_pca,0,1
0.7911355,2,rgb_pca,0,1
0.7941123,2,rgb_pca,0,1
0.7607559,2,rgb_pca,0,1
0.760172,2,rgb_pca,0,1
0.76207995,2,rgb_pca,0,1
0.766717,2,rgb_pca,0,1
0.7213898,2,rgb_pca,0,1
0.7757865,2,rgb_pca,0,1
0.75882864,2,rgb_pca,0,1
0.7648417,2,rgb_pca,0,1
0.7201251,2,rgb_pca,0,1
0.73437256,2,rgb_pca,0,1
0.7756009,2,rgb_pca,0,1
0.75857246,2,rgb_pca,0,1
0.72658336,2,rgb_pca,0,1
0.745205,2,rgb_pca,0,1
0.78501606,2,rgb_pca,0,1
0.7590935,2,rgb_pca,0,1
0.66084754,2,rgb_pca,0,1
0.6900643,2,rgb_pca,0,1
0.7523306,2,rgb_pca,0,1
0.78947765,2,rgb_pca,0,1
0.7610503,2,rgb_pca,0,1
0.7081287,2,rgb_pca,0,1
0.7347177,2,rgb_pca,0,1
0.79929006,2,rgb_pca,0,1
0.83684325,2,rgb_pca,0,1
0.7058987,2,rgb_pca,0,1
0.7193207,2,rgb_pca,0,1
0.7338396,2,rgb_pca,0,1
0.7525042,2,rgb_pca,0,1
0.75027853,2,rgb_pca,0,1
0.7683673,2,rgb_pca,0,1
0.7731531,2,rgb_pca,0,1
0.7564396,2,rgb_pca,0,1
0.6804571,2,rgb_pca,0,1
0.6954229,2,rgb_pca,0,1
0.70815295,2,rgb_pca,0,1
0.7262448,2,rgb_pca,0,1
0.67735875,2,rgb_pca,0,1
0.6701472,2,rgb_pca,0,1
0.7079237,2,rgb_pca,0,1
0.7405998,2,rgb_pca,0,1
0.61100256,2,rgb_pca,0,1
0.60559845,2,rgb_pca,0,1
0.58844143,2,rgb_pca,0,1
0.5966159,2,rgb_pca,0,1
0.7083348,2,rgb_pca,0,1
0.7098001,2,rgb_pca,0,1
0.6219108,2,rgb_pca,0,1
0.59315884,2,rgb_pca,0,1
0.5853254,2,rgb_pca,0,1
0.6959331,2,rgb_pca,0,1
0.6916679,2,rgb_pca,0,1
0.775105,2,rgb_pca,0,1
0.74050176,2,rgb_pca,0,1
0.7608321,2,rgb_pca,0,1
0.6659693,2,rgb_pca,0,1
0.75197387,2,rgb_pca,0,1
0.7158736,2,rgb_pca,0,1
0.77455866,2,rgb_pca,0,1
0.7496854,2,rgb_pca,0,1
0.75648534,2,rgb_pca,0,1
0.7579566,2,rgb_pca,0,1
0.7431319,2,rgb_pca,0,1
0.74751925,2,rgb_pca,0,1
0.7325427,2,rgb_pca,0,1
0.781355,2,rgb_pca,0,1
0.7858434,2,rgb_pca,0,1
0.730233,2,rgb_pca,0,1
0.72200876,2,rgb_pca,0,1
0.7278671,2,rgb_pca,0,1
0.7208759,2,rgb_pca,0,1
0.69591874,2,rgb_pca,0,1
0.70868963,2,rgb_pca,0,1
0.71127844,2,rgb_pca,0,1
0.76557,2,rgb_pca,0,1
0.7345488,2,rgb_pca,0,1
0.7298835,2,rgb_pca,0,1
0.733636,2,rgb_pca,0,1
0.73946893,2,rgb_pca,0,1
0.7593232,2,rgb_pca,0,1
0.74003106,2,rgb_pca,0,1
0.7277037,2,rgb_pca,0,1
0.7590186,2,rgb_pca,0,1
0.7449271,2,rgb_pca,0,1
0.7786542,2,rgb_pca,0,1
0.75986665,2,rgb_pca,0,1
0.75058365,2,rgb_pca,0,1
0.7526414,2,rgb_pca,0,1
0.74462163,2,rgb_pca,0,1
0.7408037,2,rgb_pca,0,1
0.7419994,2,rgb_pca,0,1
0.7510816,2,rgb_pca,0,1
0.793836,2,rgb_pca,0,1
0.77489483,2,rgb_pca,0,1
0.78874254,2,rgb_pca,0,1
0.7808986,2,rgb_pca,0,1
0.76781803,2,rgb_pca,0,1
0.75920296,2,rgb_pca,0,1
0.7816435,2,rgb_pca,0,1
0.76111436,2,rgb_pca,0,1
0.7287389,2,rgb_pca,0,1
0.77275074,2,rgb_pca,0,1
0.7915845,2,rgb_pca,0,1
0.75377494,2,rgb_pca,0,1
0.75269145,2,rgb_pca,0,1
0.7640181,2,rgb_pca,0,1
0.75200945,2,rgb_pca,0,1
0.7460736,2,rgb_pca,0,1
0.7424426,2,rgb_pca,0,1
0.728215,2,rgb_pca,0,1
0.7407206,2,rgb_pca,0,1
0.7588419,2,rgb_pca,0,1
0.7302405,2,rgb_pca,0,1
0.7344246,2,rgb_pca,0,1
0.7377714,2,rgb_pca,0,1
0.7097616,2,rgb_pca,0,1
0.7191963,2,rgb_pca,0,1
0.69684374,2,rgb_pca,0,1
0.7395141,2,rgb_pca,0,1
0.7459315,2,rgb_pca,0,1
0.70556355,2,rgb_pca,0,1
0.7458856,2,rgb_pca,0,1
0.7402537,2,rgb_pca,0,1
0.73047745,2,rgb_pca,0,1
0.7519442,2,rgb_pca,0,1
0.7383611,2,rgb_pca,0,1
0.7318532,2,rgb_pca,0,1
0.74724275,2,rgb_pca,0,1
0.71995324,2,rgb_pca,0,1
0.74642193,2,rgb_pca,0,1
0.7316499,2,rgb_pca,0,1
0.70754194,2,rgb_pca,0,1
0.74544,2,rgb_pca,0,1
0.75930536,2,rgb_pca,0,1
0.75937486,2,rgb_pca,0,1
0.74396616,2,rgb_pca,0,1
0.73822063,2,rgb_pca,0,1
0.76487845,2,rgb_pca,0,1
0.7264143,2,rgb_pca,0,1
0.70312774,2,rgb_pca,0,1
0.70437485,2,rgb_pca,0,1
0.6978904,2,rgb_pca,0,1
0.7183702,2,rgb_pca,0,1
0.6606195,2,rgb_pca,0,1
0.6708845,2,rgb_pca,0,1
0.7340406,2,rgb_pca,0,1
